entity1,entity2,pertinence,dot,relation
2,4,799,1,0
2,4,661,1,0
2,11,910,1,0
2,6,642,1,0
2,5,891,1,0
2,5,688,1,0
2,1,1299,1,0
2,4,463,1,0
4,11,402,0,0
4,2,821,1,0
4,4,338,0,0
4,11,554,0,1
4,4,1723,1,0
4,4,370,1,0
4,4,1473,1,0
4,4,307,0,0
4,4,618,0,0
4,11,418,0,0
4,6,642,0,0
4,5,399,0,0
4,5,872,1,0
4,1,1483,1,0
4,4,307,0,0
11,2,981,1,0
11,4,498,0,0
11,11,714,0,0
11,4,1883,1,0
11,4,530,1,0
11,4,1633,1,0
11,4,308,0,0
11,4,778,0,0
11,11,323,0,0
11,6,802,0,0
11,5,309,0,0
11,5,1032,1,0
11,1,1643,1,0
11,4,467,0,0
2,4,790,1,0
2,11,790,1,0
2,4,1448,1,0
2,4,729,0,0
2,4,1198,1,0
2,4,886,1,0
2,4,748,1,0
2,11,997,1,0
2,6,729,1,0
2,5,978,1,0
2,5,597,1,0
2,1,1208,1,0
2,4,550,1,0
4,11,307,0,0
4,4,1692,1,0
4,4,339,1,0
4,4,1442,1,0
4,4,403,0,0
4,4,587,0,0
4,11,514,0,0
4,6,611,0,1
4,5,495,0,0
4,5,841,1,0
4,1,1452,1,0
4,4,67,0,0
11,4,1692,1,0
11,4,339,1,0
11,4,1442,1,0
11,4,619,0,1
11,4,587,0,0
11,11,730,0,0
11,6,611,0,0
11,5,711,0,0
11,5,841,1,0
11,1,1452,1,0
11,4,283,0,1
4,4,1631,1,0
4,4,797,1,0
4,4,1788,1,0
4,4,1650,1,0
4,11,1899,1,0
4,6,1631,1,0
4,5,1880,1,0
4,5,1129,1,0
4,1,307,0,0
4,4,1452,1,0
4,4,1381,1,0
4,4,435,1,0
4,4,297,1,0
4,11,546,1,0
4,6,278,1,0
4,5,527,1,0
4,5,780,1,0
4,1,1391,1,0
4,4,99,1,0
4,4,1538,1,0
4,4,1400,1,0
4,11,1649,1,0
4,6,1381,1,0
4,5,1630,1,0
4,5,879,0,0
4,1,557,1,0
4,4,1202,1,0
4,4,683,0,0
4,11,324,0,0
4,6,707,0,0
4,5,305,0,0
4,5,937,1,0
4,1,1548,1,0
4,4,372,0,0
4,11,794,0,0
4,6,569,0,1
4,5,775,0,0
4,5,799,1,0
4,1,1410,1,0
4,4,347,0,0
11,6,818,0,0
11,5,325,0,0
11,5,1048,1,0
11,1,1659,1,0
11,4,483,0,0
6,5,799,0,0
6,5,780,1,0
6,1,1391,1,0
6,4,371,0,0
5,5,1029,1,0
5,1,1640,1,0
5,4,464,0,0
5,1,889,1,0
5,4,601,1,0
1,4,1212,1,0
5,9,560,0,1
5,5,590,0,0
5,11,570,0,0
9,5,580,0,1
9,11,580,0,0
5,11,610,0,0
6,11,717,1,0
6,1,698,0,0
6,2,610,0,0
6,3,721,1,0
6,3,599,0,0
6,4,550,0,1
6,1,285,1,0
11,1,867,1,0
11,2,779,1,0
11,3,552,0,1
11,3,768,1,0
11,4,719,1,0
11,1,582,0,0
1,2,637,0,0
1,3,871,1,0
1,3,649,0,1
1,4,691,0,0
1,1,435,1,0
2,3,783,1,0
2,3,561,0,1
2,4,603,0,0
2,1,347,1,0
3,3,772,1,0
3,4,723,1,0
3,1,586,0,1
3,4,592,0,1
3,1,336,1,0
4,1,287,1,0
11,5,718,0,0
11,1,278,1,0
11,3,572,1,0
11,3,366,1,0
11,11,586,0,0
11,2,810,0,0
11,4,656,0,0
5,1,449,1,0
5,3,743,1,0
5,3,537,1,0
5,11,680,0,0
5,2,399,0,0
5,4,364,0,0
1,3,572,0,1
1,3,366,0,0
1,11,317,1,0
1,2,541,1,0
1,4,387,1,0
3,3,344,0,0
3,11,611,1,0
3,2,835,1,0
3,4,681,1,0
3,11,405,1,0
3,2,629,1,0
3,4,475,1,0
11,2,772,0,0
11,4,618,0,0
2,4,456,0,0
2,11,585,0,0
2,4,622,0,0
2,8,382,0,0
2,7,596,0,0
2,1,586,0,0
2,5,326,0,0
11,4,586,0,0
11,8,418,0,0
11,7,632,0,0
11,1,550,0,0
11,5,362,0,0
4,8,455,0,0
4,7,669,0,0
4,1,343,0,0
4,5,399,0,0
8,7,336,0,1
8,1,419,0,0
8,5,363,0,0
7,1,633,0,0
7,5,577,0,0
1,5,363,0,0
3,2,392,0,0
3,11,859,1,0
3,11,279,1,0
3,4,1048,1,0
3,2,923,1,0
3,5,603,1,0
3,3,850,1,0
3,6,1094,1,0
3,6,1046,1,0
3,3,632,0,0
3,2,635,0,0
3,2,623,1,0
3,4,539,1,0
3,3,954,1,0
3,4,1121,1,0
3,11,312,1,0
3,3,621,1,0
3,2,687,0,0
3,11,442,1,0
3,2,411,1,0
3,11,859,1,0
3,4,327,1,0
3,2,635,0,0
3,3,850,1,0
3,2,824,1,0
3,11,893,1,0
2,11,973,1,0
2,11,393,1,0
2,4,1162,1,0
2,2,1037,1,0
2,5,717,1,0
2,3,765,1,0
2,6,1208,1,0
2,6,1160,1,0
2,3,307,0,0
2,2,307,0,0
2,2,737,1,0
2,4,653,1,0
2,3,1068,1,0
2,4,1235,1,0
2,11,426,1,0
2,3,735,1,0
2,2,602,0,0
2,11,357,1,0
2,2,525,1,0
2,11,973,1,0
2,4,441,1,0
2,2,307,0,0
2,3,765,1,0
2,2,938,1,0
2,11,1007,1,0
11,11,887,1,0
11,4,496,1,0
11,2,371,1,0
11,5,534,1,0
11,3,1431,1,0
11,6,542,1,0
11,6,494,1,0
11,3,1213,1,0
11,2,1216,1,0
11,2,785,1,0
11,4,870,1,0
11,3,402,1,0
11,4,569,1,0
11,11,1096,1,0
11,3,788,1,0
11,2,1268,1,0
11,11,1023,1,0
11,2,725,1,0
11,11,307,0,0
11,4,1080,1,0
11,2,1216,1,0
11,3,1431,1,0
11,2,584,0,0
11,11,341,0,0
11,4,1076,1,0
11,2,951,1,0
11,5,631,1,0
11,3,851,1,0
11,6,1122,1,0
11,6,1074,1,0
11,3,633,1,0
11,2,636,1,0
11,2,651,1,0
11,4,567,1,0
11,3,982,1,0
11,4,1149,1,0
11,11,340,0,0
11,3,649,1,0
11,2,688,1,0
11,11,443,1,0
11,2,439,0,0
11,11,887,1,0
11,4,355,0,0
11,2,636,1,0
11,3,851,1,0
11,2,852,1,0
11,11,921,1,0
4,2,674,0,0
4,5,723,1,0
4,3,1620,1,0
4,6,348,0,0
4,6,550,0,1
4,3,1402,1,0
4,2,1405,1,0
4,2,974,1,0
4,4,1059,1,0
4,3,582,0,0
4,4,375,0,1
4,11,1285,1,0
4,3,977,1,0
4,2,1457,1,0
4,11,1212,1,0
4,2,914,1,0
4,11,739,1,0
4,4,1269,1,0
4,2,1405,1,0
4,3,1620,1,0
4,2,773,1,0
4,11,705,1,0
2,5,598,1,0
2,3,1495,1,0
2,6,720,0,0
2,6,672,0,0
2,3,1277,1,0
2,2,1280,1,0
2,2,849,1,0
2,4,934,1,0
2,3,580,0,0
2,4,747,0,0
2,11,1160,1,0
2,3,852,1,0
2,2,1332,1,0
2,11,1087,1,0
2,2,789,1,0
2,11,614,1,0
2,4,1144,1,0
2,2,1280,1,0
2,3,1495,1,0
2,2,648,1,0
2,11,580,1,0
5,3,1175,1,0
5,6,769,1,0
5,6,721,1,0
5,3,957,1,0
5,2,960,1,0
5,2,298,1,0
5,4,614,0,0
5,3,629,1,0
5,4,796,1,0
5,11,840,1,0
5,3,296,1,0
5,2,1012,1,0
5,11,767,1,0
5,2,469,1,0
5,11,534,1,0
5,4,824,1,0
5,2,960,1,0
5,3,1175,1,0
5,2,499,1,0
5,11,568,1,0
3,6,1666,1,0
3,6,1618,1,0
3,3,765,1,0
3,2,765,1,0
3,2,1195,1,0
3,4,1111,1,0
3,3,1526,1,0
3,4,1693,1,0
3,11,884,1,0
3,3,1193,1,0
3,2,713,1,0
3,11,623,0,0
3,2,983,1,0
3,11,1431,1,0
3,4,899,1,0
3,2,765,1,0
3,3,307,0,0
3,2,1396,1,0
3,11,1465,1,0
6,6,596,0,0
6,3,1448,1,0
6,2,1451,1,0
6,2,1020,1,0
6,4,1105,1,0
6,3,628,0,0
6,4,576,0,1
6,11,1331,1,0
6,3,1023,1,0
6,2,1503,1,0
6,11,1258,1,0
6,2,960,1,0
6,11,785,1,0
6,4,1315,1,0
6,2,1451,1,0
6,3,1666,1,0
6,2,819,1,0
6,11,751,1,0
6,3,1400,1,0
6,2,1403,1,0
6,2,972,1,0
6,4,1057,1,0
6,3,580,0,0
6,4,623,0,0
6,11,1283,1,0
6,3,975,1,0
6,2,1455,1,0
6,11,1210,1,0
6,2,912,1,0
6,11,737,1,0
6,4,1267,1,0
6,2,1403,1,0
6,3,1618,1,0
6,2,771,1,0
6,11,703,1,0
3,2,550,0,0
3,2,977,1,0
3,4,893,1,0
3,3,1308,1,0
3,4,1475,1,0
3,11,666,1,0
3,3,975,1,0
3,2,602,0,0
3,11,357,1,0
3,2,765,1,0
3,11,1213,1,0
3,4,681,1,0
3,2,550,0,0
3,3,765,1,0
3,2,1178,1,0
3,11,1247,1,0
2,2,980,1,0
2,4,896,1,0
2,3,1311,1,0
2,4,1478,1,0
2,11,669,1,0
2,3,978,1,0
2,2,602,0,0
2,11,357,1,0
2,2,768,1,0
2,11,1216,1,0
2,4,684,1,0
2,2,550,0,0
2,3,765,1,0
2,2,1181,1,0
2,11,1250,1,0
2,4,634,1,0
2,3,880,1,0
2,4,1047,1,0
2,11,860,1,0
2,3,552,0,0
2,2,1032,1,0
2,11,787,1,0
2,2,489,1,0
2,11,785,1,0
2,4,844,1,0
2,2,980,1,0
2,3,1195,1,0
2,2,750,1,0
2,11,819,1,0
4,3,965,1,0
4,4,1132,1,0
4,11,776,1,0
4,3,632,1,0
4,2,948,1,0
4,11,703,1,0
4,2,405,1,0
4,11,870,1,0
4,4,760,1,0
4,2,896,1,0
4,3,1111,1,0
4,2,835,1,0
4,11,904,1,0
3,4,655,0,0
3,11,1191,1,0
3,3,883,1,0
3,2,1363,1,0
3,11,1118,1,0
3,2,820,1,0
3,11,645,1,0
3,4,1175,1,0
3,2,1311,1,0
3,3,1526,1,0
3,2,679,1,0
3,11,611,1,0
4,11,1358,1,0
4,3,1050,1,0
4,2,1530,1,0
4,11,1285,1,0
4,2,987,1,0
4,11,812,1,0
4,4,1342,1,0
4,2,1478,1,0
4,3,1693,1,0
4,2,846,1,0
4,11,778,1,0
11,3,858,1,0
11,2,721,1,0
11,11,476,1,0
11,2,648,0,0
11,11,1096,1,0
11,4,564,0,1
11,2,669,1,0
11,3,884,1,0
11,2,1061,1,0
11,11,1130,1,0
3,2,1030,1,0
3,11,785,1,0
3,2,487,1,0
3,11,788,1,0
3,4,842,1,0
3,2,978,1,0
3,3,1193,1,0
3,2,753,1,0
3,11,822,1,0
2,11,305,1,0
2,2,820,1,0
2,11,1268,1,0
2,4,736,1,0
2,2,602,0,0
2,3,713,1,0
2,2,1233,1,0
2,11,1302,1,0
11,2,575,1,0
11,11,1023,1,0
11,4,491,1,0
11,2,357,1,0
11,3,623,0,0
11,2,988,1,0
11,11,1057,1,0
2,11,725,1,0
2,4,632,0,0
2,2,768,1,0
2,3,983,1,0
2,2,690,1,0
2,11,759,1,0
